IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,WPR,Western Pacific,Country,KIR,Kiribati,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1100,,,593,,1650,1100 [590-1650],,,EN,2025-03-18T22:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,223.2,,,138.2,,339.6,220 [140-340],,,EN,2025-03-18T22:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,223.7,,,207.2,,353.7,220 [210-350],,,EN,2025-03-18T22:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,230.7,,,184.9,,290.1,230 [180-290],,,EN,2025-03-18T22:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,CHE,Switzerland,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,251,,,182.2,,336.4,250 [180-340],,,EN,2025-03-18T22:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,LUX,Luxembourg,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,263.7,,,202.3,,341.3,260 [200-340],,,EN,2025-03-18T22:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,ESP,Spain,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,274.2,,,202.7,,362,270 [200-360],,,EN,2025-03-18T22:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,275.8,,,204.8,,360.2,280 [200-360],,,EN,2025-03-18T22:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,ISR,Israel,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,276.7,,,195.9,,372.2,280 [200-370],,,EN,2025-03-18T22:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,FRA,France,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,281.5,,,207.1,,367,280 [210-370],,,EN,2025-03-18T22:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,SWE,Sweden,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,276.6,,,206,,365.4,280 [210-370],,,EN,2025-03-18T22:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,BEL,Belgium,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,283.8,,,211.9,,375.7,280 [210-380],,,EN,2025-03-18T22:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,ITA,Italy,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,284.9,,,225.5,,348.9,280 [230-350],,,EN,2025-03-18T22:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,NOR,Norway,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,280.8,,,226.7,,345.8,280 [230-350],,,EN,2025-03-18T22:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,CYP,Cyprus,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,297.2,,,183.4,,441.9,300 [180-440],,,EN,2025-03-18T22:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,ISL,Iceland,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,299.3,,,220.3,,395.6,300 [220-400],,,EN,2025-03-18T22:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,301.8,,,233.2,,388,300 [230-390],,,EN,2025-03-18T22:00:00.000Z
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),numeric,EUR,Europe,Country,MLT,Malta,Year,2021,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,300.5,,,228.3,,409.7,300 [230-410],,,EN,2025-03-18T22:00:00.000Z
