Country,Year,Sex,NCD_Mortality,IndicatorName,CountryCode,Risk_Level,Continent
Kiribati,2021,Both sexes,1100.0,Age-standardized NCD mortality rate  (per 100 000 population),KIR,High,
Republic of Korea,2021,Both sexes,223.2,Age-standardized NCD mortality rate  (per 100 000 population),KOR,Low,
Singapore,2021,Both sexes,223.7,Age-standardized NCD mortality rate  (per 100 000 population),SGP,Low,
Japan,2021,Both sexes,230.7,Age-standardized NCD mortality rate  (per 100 000 population),JPN,Low,
Switzerland,2021,Both sexes,251.0,Age-standardized NCD mortality rate  (per 100 000 population),CHE,Low,
Luxembourg,2021,Both sexes,263.7,Age-standardized NCD mortality rate  (per 100 000 population),LUX,Low,
Spain,2021,Both sexes,274.2,Age-standardized NCD mortality rate  (per 100 000 population),ESP,Low,
Australia,2021,Both sexes,275.8,Age-standardized NCD mortality rate  (per 100 000 population),AUS,Low,Oceania
Israel,2021,Both sexes,276.7,Age-standardized NCD mortality rate  (per 100 000 population),ISR,Low,
France,2021,Both sexes,281.5,Age-standardized NCD mortality rate  (per 100 000 population),FRA,Low,
Sweden,2021,Both sexes,276.6,Age-standardized NCD mortality rate  (per 100 000 population),SWE,Low,
Belgium,2021,Both sexes,283.8,Age-standardized NCD mortality rate  (per 100 000 population),BEL,Low,
Italy,2021,Both sexes,284.9,Age-standardized NCD mortality rate  (per 100 000 population),ITA,Low,
Norway,2021,Both sexes,280.8,Age-standardized NCD mortality rate  (per 100 000 population),NOR,Low,
Cyprus,2021,Both sexes,297.2,Age-standardized NCD mortality rate  (per 100 000 population),CYP,Low,
Iceland,2021,Both sexes,299.3,Age-standardized NCD mortality rate  (per 100 000 population),ISL,Low,
New Zealand,2021,Both sexes,301.8,Age-standardized NCD mortality rate  (per 100 000 population),NZL,Low,
Malta,2021,Both sexes,300.5,Age-standardized NCD mortality rate  (per 100 000 population),MLT,Low,
Kuwait,2021,Both sexes,301.8,Age-standardized NCD mortality rate  (per 100 000 population),KWT,Low,
Nicaragua,2021,Both sexes,306.8,Age-standardized NCD mortality rate  (per 100 000 population),NIC,Low,
Costa Rica,2021,Both sexes,305.9,Age-standardized NCD mortality rate  (per 100 000 population),CRI,Low,
Portugal,2021,Both sexes,306.6,Age-standardized NCD mortality rate  (per 100 000 population),PRT,Low,
Ireland,2021,Both sexes,307.1,Age-standardized NCD mortality rate  (per 100 000 population),IRL,Low,
Netherlands (Kingdom of the),2021,Both sexes,308.1,Age-standardized NCD mortality rate  (per 100 000 population),NLD,Low,
Canada,2021,Both sexes,309.8,Age-standardized NCD mortality rate  (per 100 000 population),CAN,Low,North America
Puerto Rico,2021,Both sexes,319.1,Age-standardized NCD mortality rate  (per 100 000 population),PRI,Low,
Slovenia,2021,Both sexes,323.3,Age-standardized NCD mortality rate  (per 100 000 population),SVN,Low,
Austria,2021,Both sexes,325.6,Age-standardized NCD mortality rate  (per 100 000 population),AUT,Low,
Chile,2021,Both sexes,330.2,Age-standardized NCD mortality rate  (per 100 000 population),CHL,Low,
Peru,2021,Both sexes,336.1,Age-standardized NCD mortality rate  (per 100 000 population),PER,Low,
Panama,2021,Both sexes,341.4,Age-standardized NCD mortality rate  (per 100 000 population),PAN,Low,
Finland,2021,Both sexes,335.2,Age-standardized NCD mortality rate  (per 100 000 population),FIN,Low,
Denmark,2021,Both sexes,340.5,Age-standardized NCD mortality rate  (per 100 000 population),DNK,Low,
United Kingdom of Great Britain and Northern Ireland,2021,Both sexes,342.3,Age-standardized NCD mortality rate  (per 100 000 population),GBR,Low,
Greece,2021,Both sexes,347.1,Age-standardized NCD mortality rate  (per 100 000 population),GRC,Low,
Germany,2021,Both sexes,349.8,Age-standardized NCD mortality rate  (per 100 000 population),DEU,Low,Europe
Lebanon,2021,Both sexes,362.6,Age-standardized NCD mortality rate  (per 100 000 population),LBN,Low,
Jordan,2021,Both sexes,380.9,Age-standardized NCD mortality rate  (per 100 000 population),JOR,Low,
Thailand,2021,Both sexes,387.2,Age-standardized NCD mortality rate  (per 100 000 population),THA,Low,
Antigua and Barbuda,2021,Both sexes,389.7,Age-standardized NCD mortality rate  (per 100 000 population),ATG,Low,
Argentina,2021,Both sexes,397.0,Age-standardized NCD mortality rate  (per 100 000 population),ARG,Low,
Iran (Islamic Republic of),2021,Both sexes,395.2,Age-standardized NCD mortality rate  (per 100 000 population),IRN,Low,
Sri Lanka,2021,Both sexes,405.4,Age-standardized NCD mortality rate  (per 100 000 population),LKA,Moderate,
Colombia,2021,Both sexes,412.4,Age-standardized NCD mortality rate  (per 100 000 population),COL,Moderate,
Belize,2021,Both sexes,412.8,Age-standardized NCD mortality rate  (per 100 000 population),BLZ,Moderate,
Albania,2021,Both sexes,415.7,Age-standardized NCD mortality rate  (per 100 000 population),ALB,Moderate,
Barbados,2021,Both sexes,423.0,Age-standardized NCD mortality rate  (per 100 000 population),BRB,Moderate,
